time;GPU;sm;tw;block_m;kw;
549.3477;1;0;8;1;12;
549.4204;1;0;16;1;12;
549.4042;1;0;32;1;12;
549.3739;1;0;12;1;12;
731.3477;1;0;8;1;14;
731.2601;1;0;16;1;14;
731.2198;1;0;32;1;14;
731.3120;1;0;12;1;14;
939.3422;1;0;8;1;16;
939.2020;1;0;16;1;16;
939.2316;1;0;32;1;16;
939.2968;1;0;12;1;16;
1173.3806;1;0;8;1;18;
1173.6141;1;0;16;1;18;
1173.5488;1;0;32;1;18;
1173.5081;1;0;12;1;18;
1433.9124;1;0;8;1;20;
1433.7006;1;0;16;1;20;
1433.7505;1;0;32;1;20;
1433.6212;1;0;12;1;20;
29.6737;1;0;8;2;2;
41.1392;1;0;16;2;2;
41.0942;1;0;32;2;2;
41.0957;1;0;12;2;2;
112.3783;1;0;8;2;4;
81.8343;1;0;16;2;4;
81.8344;1;0;32;2;4;
81.8364;1;0;12;2;4;
218.8293;1;0;8;2;6;
159.8807;1;0;16;2;6;
159.8961;1;0;32;2;6;
159.9266;1;0;12;2;6;
263.8444;1;0;8;2;8;
263.8437;1;0;16;2;8;
263.8582;1;0;32;2;8;
263.8658;1;0;12;2;8;
393.6782;1;0;8;2;10;
393.6668;1;0;16;2;10;
393.7154;1;0;32;2;10;
393.6492;1;0;12;2;10;
549.3610;1;0;8;2;12;
549.4032;1;0;16;2;12;
549.3633;1;0;32;2;12;
549.3771;1;0;12;2;12;
731.3196;1;0;8;2;14;
731.3135;1;0;16;2;14;
731.3992;1;0;32;2;14;
731.2831;1;0;12;2;14;
939.3605;1;0;8;2;16;
939.3777;1;0;16;2;16;
939.2695;1;0;32;2;16;
939.3771;1;0;12;2;16;
1173.4962;1;0;8;2;18;
1173.5028;1;0;16;2;18;
1173.5969;1;0;32;2;18;
1173.5724;1;0;12;2;18;
1433.7324;1;0;8;2;20;
1433.7666;1;0;16;2;20;
1433.6755;1;0;32;2;20;
1433.6029;1;0;12;2;20;
29.6701;1;0;8;3;2;
41.0966;1;0;16;3;2;
41.0981;1;0;32;3;2;
41.1054;1;0;12;3;2;
108.6735;1;0;8;3;4;
81.8329;1;0;16;3;4;
81.8299;1;0;32;3;4;
81.8244;1;0;12;3;4;
159.8818;1;0;8;3;6;
159.8916;1;0;16;3;6;
159.8960;1;0;32;3;6;
159.9194;1;0;12;3;6;
263.8655;1;0;8;3;8;
263.8367;1;0;16;3;8;
263.8457;1;0;32;3;8;
263.8885;1;0;12;3;8;
393.6372;1;0;8;3;10;
393.6600;1;0;16;3;10;
393.6462;1;0;32;3;10;
393.6256;1;0;12;3;10;
549.3828;1;0;8;3;12;
549.3395;1;0;16;3;12;
549.3518;1;0;32;3;12;
549.3138;1;0;12;3;12;
731.1907;1;0;8;3;14;
731.1725;1;0;16;3;14;
731.2224;1;0;32;3;14;
731.2615;1;0;12;3;14;
939.2680;1;0;8;3;16;
939.2719;1;0;16;3;16;
939.1933;1;0;32;3;16;
939.1512;1;0;12;3;16;
1173.4561;1;0;8;3;18;
1173.3344;1;0;16;3;18;
1173.4243;1;0;32;3;18;
1173.2616;1;0;12;3;18;
1433.7427;1;0;8;3;20;
1433.4856;1;0;16;3;20;
1433.6770;1;0;32;3;20;
1433.9392;1;0;12;3;20;
29.6667;1;0;8;4;2;
38.6275;1;0;16;4;2;
41.0873;1;0;32;4;2;
41.0891;1;0;12;4;2;
107.6561;1;0;8;4;4;
88.8419;1;0;16;4;4;
81.8233;1;0;32;4;4;
112.4033;1;0;12;4;4;
159.8895;1;0;8;4;6;
159.8798;1;0;16;4;6;
159.8912;1;0;32;4;6;
159.8923;1;0;12;4;6;
263.8678;1;0;8;4;8;
263.8527;1;0;16;4;8;
263.8448;1;0;32;4;8;
263.8831;1;0;12;4;8;
393.6102;1;0;8;4;10;
393.6072;1;0;16;4;10;
393.6580;1;0;32;4;10;
393.6185;1;0;12;4;10;
549.4133;1;0;8;4;12;
549.2939;1;0;16;4;12;
549.4125;1;0;32;4;12;
549.3843;1;0;12;4;12;
731.2634;1;0;8;4;14;
731.2232;1;0;16;4;14;
731.3706;1;0;32;4;14;
731.3214;1;0;12;4;14;
939.4855;1;0;8;4;16;
939.2221;1;0;16;4;16;
939.1560;1;0;32;4;16;
939.2554;1;0;12;4;16;
1173.3813;1;0;8;4;18;
1173.4720;1;0;16;4;18;
1173.5205;1;0;32;4;18;
1173.3136;1;0;12;4;18;
1433.5980;1;0;8;4;20;
1433.8236;1;0;16;4;20;
1433.5365;1;0;32;4;20;
1433.6840;1;0;12;4;20;
29.6706;1;0;8;5;2;
29.6719;1;0;16;5;2;
0.0130;1;0;32;5;2;
41.0973;1;0;12;5;2;
112.4763;1;0;8;5;4;
81.8372;1;0;16;5;4;
0.0131;1;0;32;5;4;
108.4999;1;0;12;5;4;
187.0942;1;0;8;5;6;
159.8740;1;0;16;5;6;
0.0127;1;0;32;5;6;
188.3603;1;0;12;5;6;
263.8926;1;0;8;5;8;
263.8826;1;0;16;5;8;
0.0125;1;0;32;5;8;
293.3940;1;0;12;5;8;
393.6498;1;0;8;5;10;
393.6796;1;0;16;5;10;
0.0125;1;0;32;5;10;
447.2281;1;0;12;5;10;
549.3640;1;0;8;5;12;
549.3292;1;0;16;5;12;
0.0128;1;0;32;5;12;
603.4423;1;0;12;5;12;
731.3482;1;0;8;5;14;
731.3461;1;0;16;5;14;
0.0144;1;0;32;5;14;
781.4941;1;0;12;5;14;
939.3079;1;0;8;5;16;
939.2628;1;0;16;5;16;
0.0135;1;0;32;5;16;
988.7269;1;0;12;5;16;
1173.2966;1;0;8;5;18;
1173.4138;1;0;16;5;18;
0.0135;1;0;32;5;18;
1218.8110;1;0;12;5;18;
1433.4047;1;0;8;5;20;
1433.7712;1;0;16;5;20;
0.0127;1;0;32;5;20;
1487.3250;1;0;12;5;20;
29.6694;1;0;8;6;2;
41.1283;1;0;16;6;2;
0.0124;1;0;32;6;2;
41.0870;1;0;12;6;2;
112.3494;1;0;8;6;4;
81.8466;1;0;16;6;4;
0.0133;1;0;32;6;4;
81.8301;1;0;12;6;4;
159.9109;1;0;8;6;6;
159.8970;1;0;16;6;6;
0.0126;1;0;32;6;6;
205.8762;1;0;12;6;6;
263.8636;1;0;8;6;8;
263.8798;1;0;16;6;8;
0.0134;1;0;32;6;8;
323.2453;1;0;12;6;8;
393.6664;1;0;8;6;10;
393.6488;1;0;16;6;10;
0.0118;1;0;32;6;10;
447.1918;1;0;12;6;10;
549.4553;1;0;8;6;12;
549.3727;1;0;16;6;12;
0.0128;1;0;32;6;12;
589.2769;1;0;12;6;12;
731.2556;1;0;8;6;14;
731.1783;1;0;16;6;14;
